# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles:u'
# Event count (approx.): 699789103559
#
# Overhead  Command  Shared Object                                      Symbol                                                                                                                                                            
# ........  .......  .................................................  ..................................................................................................................................................................
#
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c6d6
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b88eb
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000073d5c9
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070bb80
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000057b440
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001e9fcf
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070cc95
     0.00%  python   libpython3.11.so.1.0                               [.] PyImport_ImportModuleLevelObject
     0.00%  python   ld-linux-x86-64.so.2                               [.] _dl_map_object
     0.00%  python   [unknown]                                          [k] 0xffffffffa9191cee
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000073c57a
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005efdef
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000006faf36
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005efdd1
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a677e
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001af0b7
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c63a
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a92a2
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070cece
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c72e
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070ce3e
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070ce66
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070ce34
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c7d2
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005f7629
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070ce5e
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001aa6d1
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000235877
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070cd71
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a1c3c
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070cc8e
     0.00%  python   libpython3.11.so.1.0                               [.] PyObject_CallOneArg
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070bf03
     0.00%  python   libpython3.11.so.1.0                               [.] _PyObject_GenericSetAttrWithDict
     0.00%  python   libm.so.6                                          [.] 0x000000000006eec4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001aa6c0
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070cc6a
     0.00%  python   libpython3.11.so.1.0                               [.] _PyUnicode_XStrip
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000057b46a
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074cbdb
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a88c6
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070cd0f
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070cc45
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070cedd
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070cc2d
     0.00%  python   libc.so.6                                          [.] __printf_buffer_write
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a1c55
     0.00%  python   libc.so.6                                          [.] __mbsrtowcs_l
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070cfd9
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001e9fdb
     0.00%  python   libpython3.11.so.1.0                               [.] _Py_NewReference
     0.00%  python   libpython3.11.so.1.0                               [.] PyErr_GivenExceptionMatches
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a92b7
     0.00%  python   [unknown]                                          [k] 0xffffffffa9fae8a2
     0.00%  python   libpython3.11.so.1.0                               [.] PyObject_RichCompare
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a693c
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a56d0
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b8907
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001f6bc2
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8828
     0.00%  python   libpython3.11.so.1.0                               [.] 0x000000000025a2ab
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005f62b7
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8c7e
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d8581
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8744
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8e6a
     0.00%  python   libpython3.11.so.1.0                               [.] _PyObject_GetMethod
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d8545
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d13ca
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001f6ed4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001afb02
     0.00%  python   libm.so.6                                          [.] 0x000000000006eedf
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8bd8
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c8cfb
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a9270
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d8558
     0.00%  python   libpython3.11.so.1.0                               [.] 0x000000000020b758
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001aeff6
     0.00%  python   libpython3.11.so.1.0                               [.] PyErr_Restore
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005f6289
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c9fa5
     0.00%  python   libpython3.11.so.1.0                               [.] 0x000000000020dbf8
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000263845
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d13bd
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8457
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a90b0
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001f6dbf
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d8617
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001af957
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b256c
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c6f38
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000204f21
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a87ee
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8d42
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001dc480
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d8571
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a232d
     0.00%  python   libpython3.11.so.1.0                               [.] PyLong_AsSsize_t
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001fb11a
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a5970
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c8eac
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001aef28
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001aef62
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a90f0
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001afa3a
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001aefb9
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a59ff
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a5a1d
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c3a9b
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d134d
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a2eda
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8093
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000235474
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001aef05
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a5af7
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a5a7e
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d8597
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a7ff1
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001dd614
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001ec12e
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a1c79
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001ff19f
     0.00%  python   [unknown]                                          [k] 0xffffffffa9202d6b
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001ae6ef
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001ac928
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b5340
     0.00%  python   libpython3.11.so.1.0                               [.] 0x000000000028383f
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001f1e1e
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001afa0b
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001dce44
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b32e3
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a65fa
     0.00%  python   libpython3.11.so.1.0                               [.] PyDict_New
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b2802
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a2590
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8d77
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a86ba
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000260028
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a5650
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001cc164
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005eff48
     0.00%  python   libpython3.11.so.1.0                               [.] _PyCode_Validate
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b520f
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a6895
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000208460
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005eff39
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a5a71
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001cb8ee
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8d51
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d2edf
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000002386c4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a20b3
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a1fd0
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c7194
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d66b3
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a65c9
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c6bc3
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074d582
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a1fc2
     0.00%  python   libpython3.11.so.1.0                               [.] 0x000000000024f153
     0.00%  python   libpython3.11.so.1.0                               [.] 0x000000000024a404
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001aa6e4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001aa70e
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c70b0
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a1b76
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001af072
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001f909a
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b35ce
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001fb1b4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001e9f83
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000205541
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c6bcf
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000002158e4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001db962
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a1455
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000263b04
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d90d1
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8466
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001dcf19
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] omp_get_num_threads
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a1d33
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001af7d4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b88f2
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000002223b2
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000073d3e2
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001ac228
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a2327
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a92fd
     0.00%  python   [unknown]                                          [k] 0xffffffffa93f9ba3
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000070cde2
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a2290
     0.00%  python   libpython3.11.so.1.0                               [.] PyObject_SetAttrString
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000204d50
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a1477
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c6c0c
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001fcd02
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b1534
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001ad77a
     0.00%  python   libpython3.11.so.1.0                               [.] PyLong_FromString
     0.00%  python   [unknown]                                          [k] 0xffffffffa9f7d241
     0.00%  python   libpython3.11.so.1.0                               [.] PyBytes_FromStringAndSize
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005e0266
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000017c10
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b54e1
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005eff52
     0.00%  python   libpython3.11.so.1.0                               [.] _PyObject_FastCallDictTstate
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d2f56
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000002f99f5
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d4ed5
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b6245
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a6667
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c6f7e
     0.00%  python   libpython3.11.so.1.0                               [.] 0x000000000025dc3e
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000127950
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001dc038
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000017ec3
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001aa841
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c51e
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000073d431
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074ce2a
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001ac0e4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b6a60
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000007444a4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a14e3
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a2014
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c6b74
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001adea3
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a86d8
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8870
     0.00%  python   libpython3.11.so.1.0                               [.] _PyFunction_Vectorcall
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001aa926
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000215a24
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001f6b40
     0.00%  python   libpython3.11.so.1.0                               [.] PyUnicode_FindChar
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001ec12a
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001af041
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000002570e5
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074d5a7
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000073d3ff
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c5f5
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c9c2
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000002600d4
     0.00%  python   libc.so.6                                          [.] __GI___pthread_mutex_unlock_usercnt
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074cb0f
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000016bf9
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c91b
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074d543
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c52a
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8d3f
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c6f1
     0.00%  python   [unknown]                                          [k] 0xffffffffaa001602
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000017f09
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x00000000000165a6
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c9e6
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c7151
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x0000000000445a43
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001fff93
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c98bd
     0.00%  python   [unknown]                                          [k] 0xffffffffa939d021
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074d527
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d9dd6
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d3ec9
     0.00%  python   [unknown]                                          [k] 0xffffffffa9200300
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c7e2
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b8916
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8812
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001fdc83
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000073d535
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005edfe4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a8c60
     0.00%  python   libpython3.11.so.1.0                               [.] PyDict_Keys
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a928c
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074ca2e
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001ec01e
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b642f
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000018c94
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000004473ac
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000016b56
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c57e4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a15b0
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001f6d1d
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074ca1c
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x00000000000163e4
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074ca64
     0.00%  python   [unknown]                                          [k] 0xffffffffa9153e05
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c668
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c434
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000044660a
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c9b0
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c785
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000018bc0
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x000000000000a84c
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001ae6df
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001d74b0
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x00000000000190b2
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c733
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x0000000000445981
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074cd31
     0.00%  python   [unknown]                                          [k] 0xffffffffa92002c4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a5979
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001dc4c4
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074ca76
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000000fd902
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c635
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074ccf2
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x000000000000a828
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001f6ba8
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000237b78
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001b3a00
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c657
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c813
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000237b0a
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x00000000000190d8
     0.00%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000017beb
     0.00%  python   libpython3.11.so.1.0                               [.] pthread_cond_signal@plt
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074d56a
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005f9453
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000057b41c
     0.00%  python   libpython3.11.so.1.0                               [.] PyLong_AsLongAndOverflow
     0.00%  python   libpython3.11.so.1.0                               [.] PyErr_Clear
     0.00%  python   libpython3.11.so.1.0                               [.] PyObject_VectorcallMethod
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000073c584
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c6f2f
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074c8f5
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074d515
     0.00%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] ufunc_generic_fastcall
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee0d1
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c8e18
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001fbcbd
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000007444b8
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001c7001
     0.00%  python   libpython3.11.so.1.0                               [.] 0x0000000000237eb4
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001aab3f
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a1c06
     0.00%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x0000000000756b84
     0.00%  python   libpython3.11.so.1.0                               [.] 0x00000000001a1fcb
